Maize,3.84,Full,rep1
Maize,3.92,Full,rep1
Maize,3.84,Full,rep1
Maize,4.12,Full,rep1
Maize,3.91,Full,rep1
Sorghum,1.12,Full,rep1
Sorghum,0.97,Full,rep1
Sorghum,0.87,Full,rep1
Sorghum,1.23,Full,rep1
Sorghum,1.21,Full,rep1
Paspalum,1.13,Full,rep1
Paspalum,0.93,Full,rep1
Paspalum,0.88,Full,rep1
Paspalum,1.23,Full,rep1
Paspalum,1.12,Full,rep1
Maize,2.12,-N,rep1
Maize,1.31,-N,rep1
Maize,1.51,-N,rep1
Maize,1.21,-N,rep1
Maize,1.96,-N,rep1
Sorghum,0.25,-N,rep1
Sorghum,0.33,-N,rep1
Sorghum,0.29,-N,rep1
Sorghum,0.36,-N,rep1
Sorghum,0.31,-N,rep1
Paspalum,0.78,-N,rep1
Paspalum,1.13,-N,rep1
Paspalum,0.99,-N,rep1
Paspalum,1.21,-N,rep1
Paspalum,0.95,-N,rep1
Maize,1.98,-P,rep1
Maize,1.84,-P,rep1
Maize,2.11,-P,rep1
Maize,2.13,-P,rep1
Maize,1.78,-P,rep1
Sorghum,0.68,-P,rep1
Sorghum,0.89,-P,rep1
Sorghum,0.87,-P,rep1
Sorghum,0.78,-P,rep1
Sorghum,0.65,-P,rep1
Paspalum,0.98,-P,rep1
Paspalum,1.3,-P,rep1
Paspalum,0.8,-P,rep1
Paspalum,0.87,-P,rep1
Paspalum,1.23,-P,rep1
Maize,4.12,Full,rep2
Maize,3.84,Full,rep2
Maize,4.06,Full,rep2
Maize,3.56,Full,rep2
Maize,3.87,Full,rep2
Sorghum,1.21,Full,rep2
Sorghum,1.12,Full,rep2
Sorghum,1.31,Full,rep2
Sorghum,1.2,Full,rep2
Sorghum,1.95,Full,rep2
Paspalum,1.15,Full,rep2
Paspalum,1.21,Full,rep2
Paspalum,0.99,Full,rep2
Paspalum,1.25,Full,rep2
Paspalum,1.32,Full,rep2
Maize,2.09,-N,rep2
Maize,1.41,-N,rep2
Maize,1.62,-N,rep2
Maize,1.35,-N,rep2
Maize,1.86,-N,rep2
Sorghum,0.35,-N,rep2
Sorghum,0.37,-N,rep2
Sorghum,0.31,-N,rep2
Sorghum,0.4,-N,rep2
Sorghum,0.38,-N,rep2
Paspalum,0.89,-N,rep2
Paspalum,0.96,-N,rep2
Paspalum,1.12,-N,rep2
Paspalum,1.22,-N,rep2
Paspalum,1.11,-N,rep2
Maize,1.89,-P,rep2
Maize,1.84,-P,rep2
Maize,1.99,-P,rep2
Maize,2.15,-P,rep2
Maize,1.87,-P,rep2
Sorghum,0.72,-P,rep2
Sorghum,0.87,-P,rep2
Sorghum,0.85,-P,rep2
Sorghum,0.82,-P,rep2
Sorghum,0.75,-P,rep2
Paspalum,1.12,-P,rep2
Paspalum,1.2,-P,rep2
Paspalum,0.95,-P,rep2
Paspalum,0.86,-P,rep2
Paspalum,1.25,-P,rep2
Maize,4.15,Full,rep3
Maize,4.23,Full,rep3
Maize,3.86,Full,rep3
Maize,4.05,Full,rep3
Maize,4.25,Full,rep3
Sorghum,1.18,Full,rep3
Sorghum,1.12,Full,rep3
Sorghum,0.98,Full,rep3
Sorghum,1.25,Full,rep3
Sorghum,1.15,Full,rep3
Paspalum,1.16,Full,rep3
Paspalum,1.11,Full,rep3
Paspalum,0.98,Full,rep3
Paspalum,1.25,Full,rep3
Paspalum,1.13,Full,rep3
Maize,2.32,-N,rep3
Maize,1.59,-N,rep3
Maize,1.61,-N,rep3
Maize,1.35,-N,rep3
Maize,2.11,-N,rep3
Sorghum,0.23,-N,rep3
Sorghum,0.31,-N,rep3
Sorghum,0.32,-N,rep3
Sorghum,0.37,-N,rep3
Sorghum,0.32,-N,rep3
Paspalum,1.13,-N,rep3
Paspalum,1.21,-N,rep3
Paspalum,1.03,-N,rep3
Paspalum,0.99,-N,rep3
Paspalum,0.87,-N,rep3
Maize,2.01,-P,rep3
Maize,1.96,-P,rep3
Maize,2.35,-P,rep3
Maize,2.14,-P,rep3
Maize,1.99,-P,rep3
Sorghum,0.69,-P,rep3
Sorghum,0.76,-P,rep3
Sorghum,0.85,-P,rep3
Sorghum,0.9,-P,rep3
Sorghum,0.7,-P,rep3
Paspalum,0.95,-P,rep3
Paspalum,1.26,-P,rep3
Paspalum,1.03,-P,rep3
Paspalum,0.85,-P,rep3
Paspalum,1.13,-P,rep3
