"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRMZM5G800980",4.93072862934789,-1.38748665065332,1.09368719225623,-1.26863207366541,0.20457231936152,0.300328135404044
"GRMZM5G804358",90.2554800430038,-0.211109539154855,0.336988846592082,-0.626458535022076,0.531014226088529,0.63646082445191
"GRMZM5G804708",7.37956258385928,-0.0646134908280501,0.708291684188331,-0.0912244097600753,0.92731427963345,0.950699751206234
"GRMZM5G806435",3.7993842252242,-0.257816439063088,1.05090769808116,-0.245327386538164,0.806202948153132,0.863156773085988
"GRMZM5G809869",3.28925670194618,-0.402794852267271,1.23354139566677,-0.326535334511044,0.744019359956357,0.815365359985097
"GRMZM5G811749",8.64073114931481,-1.6948531502637,0.752179962618638,-2.25325485188843,0.0242430846645232,0.0496115015713899
"GRMZM5G816453",3.33926711427114,-1.16271244235383,1.48382226421049,-0.783592799756568,0.433279082048617,0.545243638789725
"GRMZM5G827309",39.0459859902365,0.824379143855193,0.429829185598101,1.9179226806297,0.055120815882123,0.10058642306121
"GRMZM5G830210",15.7785617396149,-0.564569868608207,0.698746517451981,-0.807975216344466,0.419104849454116,0.531880846976656
"GRMZM5G834128",16.5631345669201,-0.95910064157237,0.652321335575678,-1.47028862811295,0.141483599646277,0.222214538833377
"GRMZM5G834666",39.2035997646815,-1.09132348096213,0.35533684892627,-3.07123644581136,0.00213174266528293,0.00580409444694826
"GRMZM5G836994",7.55643702825043,1.27860102958347,0.968338258558676,1.32040742817144,0.186699024855565,0.27907385392691
"GRMZM5G838396",8.79002881988125,0.258432735457115,1.07801611981839,0.239729936042749,0.810539625940917,0.866594317402426
"GRMZM5G845024",440.806192814141,0.037966392818788,0.180699853142718,0.2101074912817,0.833583778782974,0.883490241364894
"GRMZM5G845244",5.09498994347593,0.662688873917488,0.978940172479285,0.676945223566776,0.498440709341939,0.606991640371223
"GRMZM5G851769",67.0268116132315,-0.695245980862951,0.449743032105431,-1.54587382401061,0.12213504340567,0.196555779995538
"GRMZM5G853305",5.47270240569378,0.244052935641919,0.965856247128225,0.252680392519653,0.800515200808791,0.85903658267704
"GRMZM5G856777",34.1626005868921,-1.44170249746226,1.07334027093319,-1.34319240273059,0.179209681056591,0.269741415814533
"GRMZM5G862955",486.32942903927,-1.0062468101616,0.177660263130155,-5.6638822459945,1.47985980005349e-08,9.38454554794578e-08
"GRMZM5G867512",99.6666869661713,-0.391230704990305,0.349004544942599,-1.12099028697363,0.262291996890987,0.366880878983727
"GRMZM5G876913",37.7348234763629,0.141660067092065,0.421993470102214,0.335692557180453,0.737102718974117,0.809851922794306
"GRMZM5G881135",37.3740594011441,-0.564576476035595,0.421711860138834,-1.33877305667839,0.180644564597,0.271471497606462
"GRMZM5G884538",137.355670847732,0.510374349233576,0.301613584659059,1.69214642573377,0.0906180584307562,0.153117435109726
"GRMZM5G884912",129.940709058424,-0.445756384826321,0.253736928074649,-1.75676590793745,0.0789577182967149,0.136303800505992
"GRMZM5G889036",28.5355475488746,-1.28276222027112,0.478269280988625,-2.68209201648815,0.00731633324981992,0.0174085713319815
"GRMZM5G889790",4.02638825618184,-1.33795604138602,1.39166736559666,-0.961405055878701,0.336348543150215,0.447454381142998
"GRMZM5G890451",40.9613134401152,-0.517392432654854,0.34683563310519,-1.49175108688425,0.135764411012044,0.214726463318407
"GRMZM5G890747",4.19642509021168,-0.458033490578193,1.58224990450798,-0.289482394199052,0.772212250827181,0.837404512931223
"GRMZM5G898647",27.3850590388194,-0.242469751889817,0.549312002615232,-0.441406251338834,0.658918917365663,0.748696092665367
"GRMZM5G899366",6.37450396503168,0.283907081259758,1.25356786842305,0.226479226543119,0.820828714332579,0.873582214438366
"Zm00001d000482",12.5018694886847,0.919267974542117,0.725754078211203,1.26663838639099,0.205284620176116,0.30112482047318
"Zm00001d000500",4.73728794618603,0.235653974092506,1.08776568455257,0.216640382610928,0.828488612242676,0.87990566236431
"Zm00001d000501",73.6584731438555,1.03125173019232,0.269581769770361,3.8253763638052,0.000130572452037057,0.00045851025357283
"Zm00001d000502",51.3817379118548,0.274860675279002,0.44144316247064,0.622641143065122,0.533520367995997,0.638469298413438
"Zm00001d000506",112.774808703815,-3.4895855179249,0.322198545140752,-10.830543993923,2.46685399071124e-27,6.09910752689497e-26
"Zm00001d000508",4722.2652526136,1.12959410694992,0.0882650107480959,12.7977564085244,1.68756644510444e-37,6.12214159403829e-36
"Zm00001d000509",6.61586803714648,0.0643963046634127,0.939800262040092,0.0685212669803082,0.94537069125842,0.963720024762804
"Zm00001d000511",2.94538930216816,0.442282386530086,1.44374269507072,0.306344328556704,0.759342491217281,0.827526064342055
"Zm00001d000512",1.88552175272749,0.197650198004024,1.83043251940826,0.107980051659004,0.914011516146186,0.941660783148589
"Zm00001d000514",21.773644470658,-0.85375947082216,0.509746373708567,-1.6748711022911,0.0939595245490966,0.157881884248965
"Zm00001d000522",1311.84117337098,0.055186490415635,0.0746876430139426,0.738897201580358,0.45996942175219,0.570689487863429
"Zm00001d000523",389.46584076985,-0.0780420124361814,0.17833914386352,-0.437604503114053,0.66167300630186,0.751056260360882
"Zm00001d000526",1968.77885109809,-0.434695479180944,0.095614973864835,-4.54631175024371,5.45941545628957e-06,2.43302618862057e-05
