"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.001G000100",26.4846782308126,0.982257445221265,0.333363784991966,2.94650315793882,0.00321389137353706,0.00952895638451259
"Sobic.001G000200",1278.16129178274,0.391648818017539,0.053684427967754,7.29538961005203,2.97796054256277e-13,3.16960555743098e-12
"Sobic.001G000700",323.151581754655,-0.509664202566341,0.108241065652532,-4.70860296407679,2.49420365483225e-06,1.29112004714356e-05
"Sobic.001G000800",1625.93430196754,-0.351397573891607,0.0474607977552981,-7.4039542214054,1.32188009909277e-13,1.43363652573357e-12
"Sobic.001G001400",2316.30299366123,0.271603909226695,0.0459691832795743,5.9083910100134,3.45465255579819e-09,2.5402701410987e-08
"Sobic.001G002000",1929.76729425757,-0.170383655322114,0.0451504294590513,-3.77368847569083,0.000160851596409201,0.000627635694058831
"Sobic.001G002050",562.265771392002,0.599356598312314,0.0842675771677725,7.11254100873253,1.13925668702487e-12,1.15646534443883e-11
"Sobic.001G002500",45.4096592658298,0.921416103079265,0.275297525711255,3.34698287134512,0.000816962581933749,0.00277993484648524
"Sobic.001G002700",61.7482779362481,0.783324122231639,0.231291031688884,3.38674663047598,0.000707266734642756,0.00243756501378378
"Sobic.001G002800",3144.28978906011,0.812949837037655,0.0437623118769716,18.5764828723649,4.98099317541767e-77,3.75626317731426e-75
"Sobic.001G002900",3.46812375544232,4.23073184150768,1.41731053541464,2.98504225841372,0.00283539150071613,0.00851226729094205
"Sobic.001G003300",256.799580021814,0.588031410914167,0.110272402501283,5.33253468298494,9.685126345802e-08,6.03643293846711e-07
"Sobic.001G003900",56.4872348053767,0.795583444652496,0.2277640160209,3.49301640597825,0.000477597165969578,0.00170561237328972
"Sobic.001G004000",150.831067148931,0.448518988630012,0.144974227314935,3.09378430178262,0.00197621107012471,0.00617740495248004
"Sobic.001G004200",532.876080157707,0.334282702038882,0.0779636833429241,4.28767199939151,1.80555439317633e-05,8.28351907481259e-05
"Sobic.001G004300",101.456916063027,1.17448169267787,0.19222831086149,6.10982683775515,9.97392985506918e-10,7.759612192345e-09
"Sobic.001G004400",1861.24405086169,0.220547716254253,0.0460359847543395,4.79076786194875,1.66144258492191e-06,8.78195806785186e-06
"Sobic.001G004600",80.3176567497332,-0.547191539680607,0.204810366130807,-2.67169845949657,0.00754684312759272,0.020331975116406
"Sobic.001G004800",84.5324129298865,-0.685987979302565,0.198160955121737,-3.46177166375252,0.000536632227624622,0.00189578153876705
"Sobic.001G005300",76.5133878091961,-0.767189241102218,0.202816495761301,-3.78267674048139,0.000155150853420149,0.000607445339828593
"Sobic.001G005500",157.990702682402,-0.516543058349517,0.143445949159299,-3.60095953477144,0.000317044923980726,0.00117344638971952
"Sobic.001G005600",1858.80710353215,-0.186805103869538,0.0482466832250215,-3.87187452862372,0.000108001547212059,0.000435236233603174
"Sobic.001G006000",124.950821496293,-0.416597122073949,0.156443009794678,-2.66293216054016,0.00774630293093167,0.0208123088361924
"Sobic.001G006300",9.52207135798445,-1.82690271501489,0.763522884234799,-2.39272817192088,0.0167236260024688,0.0409250335307468
"Sobic.001G006400",1119.73831923247,-0.232601921538946,0.0579333582403313,-4.01499116578083,5.94480214543827e-05,0.000252084301838113
"Sobic.001G007000",1090.08049278421,0.145226386586439,0.0602150947452706,2.41179370722232,0.0158742604676733,0.0391219240659538
"Sobic.001G007200",1834.41094867749,-0.248099655226992,0.0464177735936546,-5.34492794503414,9.04530287656618e-08,5.65987269770558e-07
"Sobic.001G007600",2601.72139804589,0.211905326170601,0.0418632652445603,5.0618441952073,4.15220295072417e-07,2.37083732688692e-06
"Sobic.001G008600",196.784313465445,1.82336154232256,0.130223595745704,14.0017754223524,1.52024853291847e-44,5.97851811945491e-43
"Sobic.001G009500",339.147912801027,0.614697241014033,0.0967517614335136,6.35334418626005,2.10683584095669e-10,1.75206633452993e-09
