"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pavagv31000008m.g",868.479045219804,-0.568065125516655,0.0614657563200019,-9.24197731431475,2.41983420608883e-20,5.41390367580619e-19
"Pavagv31000019m.g",746.714076280158,-0.276646322401684,0.0671388578998491,-4.12050980691921,3.78034974585195e-05,0.000221091200595783
"Pavagv31000022m.g",1297.76352124773,-0.146590242984775,0.0513493875225606,-2.85476127481305,0.00430691893190668,0.0159717370700773
"Pavagv31000026m.g",10.8964675944732,1.52955960563393,0.564487815900003,2.70964148835568,0.00673559699035151,0.0236366324587465
"Pavagv31000027m.g",27.6347183143893,-0.862201455956585,0.343822880956504,-2.50769074343734,0.0121522973049698,0.0390249898850918
"Pavagv31000031m.g",1453.41269162549,-0.564759293362364,0.0480380777058574,-11.7564923563438,6.53950225921627e-32,2.55617047123614e-30
"Pavagv31000036m.g",4.54106109693141,-2.81572062182219,1.08123939142321,-2.60416022960089,0.00920996885879743,0.0308987695668511
"Pavagv31000039m.g",875.377522833924,-0.32831495143763,0.0600807537695346,-5.46456112546493,4.64053459345e-08,4.12222726496647e-07
"Pavagv31000040m.g",6.19434560258781,-2.0636174905875,0.762535951916845,-2.70625599409447,0.0068046568506481,0.0238328075817708
"Pavagv31000045m.g",638.785197148499,-0.299354395854922,0.0694077472742451,-4.31298244952552,1.61066908545397e-05,0.000100315422731855
"Pavagv31000047m.g",254.997998509855,-1.07604015532868,0.111812322090999,-9.62362765753977,6.3549517386572e-22,1.55702073893966e-20
"Pavagv31000054m.g",226.718128060661,0.310674823262301,0.115755712586563,2.68388329457155,0.00727725043884561,0.0252426708284605
"Pavagv31000057m.g",272.358336279004,-0.484497679645496,0.101280061938671,-4.78374193667928,1.72061565066117e-06,1.23549064865235e-05
"Pavagv31000059m.g",1826.52199768165,-0.191962048797386,0.0489942450670368,-3.9180529985661,8.92670820886374e-05,0.000486909720390311
"Pavagv31000060m.g",315.771850236854,0.249458529902626,0.100540845406116,2.48116602655354,0.0130953362028208,0.0415064153913874
"Pavagv31000061m.g",150.803743606494,-0.450120798542979,0.143920438787477,-3.12756688581013,0.00176259709582846,0.00723357439615596
"Pavagv31000066m.g",1540.40825033412,-0.121549334329794,0.04771943232623,-2.54716639332236,0.0108601636220355,0.0355293379066811
"Pavagv31000067m.g",133.035635319664,-0.422828094264233,0.143818611958669,-2.94000956138936,0.00328202118892576,0.0125976147494328
"Pavagv31000068m.g",436.306552660859,0.5075476303518,0.0905039355329703,5.60801723552566,2.04657650451342e-08,1.90037239514533e-07
"Pavagv31000070m.g",5.65679998666716,3.56436671931684,1.3552464215868,2.63005064063809,0.00853721500137348,0.0289304846620084
"Pavagv31000071m.g",1657.54734882974,-0.16738057353328,0.0437029822987522,-3.82995769920395,0.000128165288882521,0.000679620250731877
"Pavagv31000089m.g",1787.16686890743,0.245455798340168,0.0457499848288476,5.3651558412189,8.08793569652793e-08,6.93848945941592e-07
"Pavagv31000090m.g",710.290128119581,-0.400801680456263,0.0719627847737747,-5.56956879470743,2.55370546117633e-08,2.34710088411004e-07
"Pavagv31000104m.g",249.465087013351,1.45032036483038,0.112712465755516,12.867435337421,6.86437677953345e-38,3.26891773784507e-36
"Pavagv31000106m.g",335.734482880853,0.241686173974494,0.0981303940111748,2.46290842312293,0.0137815110745112,0.0433481361736045
"Pavagv31000111m.g",179.141285723255,-0.508820535060942,0.130450683721331,-3.90048193344762,9.60013904422766e-05,0.000520284834717119
"Pavagv31000116m.g",4294.88393126196,-0.131390351540538,0.0346041364194773,-3.7969550792368,0.000146484321211209,0.000767878760550774
"Pavagv31000119m.g",116.414976804457,-1.24869606237417,0.165060790253141,-7.56506775751616,3.87662481985336e-14,5.9714592683493e-13
"Pavagv31000121m.g",311.25826854721,-0.310408624923108,0.102588188724559,-3.02577352015182,0.00247997985557894,0.00982439588657801
"Pavagv31000122m.g",565.524061580472,0.215832820214077,0.0747569948226969,2.88712542185481,0.00388779219474863,0.0146137980927954
"Pavagv31000125m.g",866.345446089266,0.372182002199672,0.0686876079267943,5.41847377472127,6.01099541661018e-08,5.24657679973826e-07
"Pavagv31000126m.g",183.375179913289,0.38781942089661,0.134334448192693,2.88696924812845,0.00388972245823628,0.0146190221999212
"Pavagv31000127m.g",1013.97739301631,0.295094337240145,0.0614027489161679,4.80588153541842,1.54071112804749e-06,1.11638615865407e-05
"Pavagv31000139m.g",3.36634497531514,-3.19105924867501,1.32497950671731,-2.40838385235179,0.0160233239130312,0.0491957875736187
"Pavagv31000142m.g",206.229867442961,-0.339486859090159,0.136756315331873,-2.48242180455294,0.0130492704840401,0.0413798027342086
"Pavagv31000143m.g",216.648800402553,0.311486586786207,0.124922588631428,2.49343685716615,0.0126513083970374,0.0403211076742624
"Pavagv31000144m.g",366.931257134165,0.571690169955501,0.0926293679677068,6.17180255569496,6.75157822229477e-10,7.38767958474318e-09
"Pavagv31000150m.g",307.965336365459,0.28232482724524,0.101093378294207,2.79271335085474,0.00522679866954969,0.018949159256487
"Pavagv31000152m.g",247.169178960141,0.289159930061141,0.115410680590537,2.50548674162183,0.0122282982784046,0.0391992462825984
"Pavagv31000153m.g",198.916850150673,0.443873680881596,0.136256992461734,3.25762129973807,0.00112350229971972,0.00483421628721456
"Pavagv31000155m.g",484.931871736001,0.548410480134107,0.0891906248370269,6.1487458030055,7.80980249188015e-10,8.51117435950307e-09
"Pavagv31000164m.g",2097.02316479568,-0.155900067280749,0.0443585554129704,-3.51454338017428,0.000440510717242893,0.0020780213447337
"Pavagv31000170m.g",1058.96062003988,0.431559235316894,0.0586612623548613,7.35680103006052,1.88369798217599e-13,2.76163396855709e-12
"Pavagv31000176m.g",914.899536730789,0.297954672142936,0.0691842648355286,4.30668263732024,1.657211066456e-05,0.000102866819467228
"Pavagv31000185m.g",4.31809804942274,-5.1742344668712,1.34938419325226,-3.83451539802045,0.000125812091150317,0.000668189918225981
"Pavagv31000204m.g",3014.10928980742,-0.123155537582366,0.0359131406888858,-3.42926113450388,0.00060522690980167,0.00277235947218042
"Pavagv31000209m.g",17.9796920298579,-1.73291820162702,0.433786144115524,-3.99486757503604,6.4730423029302e-05,0.000362278752849077
"Pavagv31000212m.g",960.750605161101,0.2532047068631,0.0599131577453192,4.22619531989001,2.37675709774677e-05,0.000144145521831732
"Pavagv31000218m.g",2791.85871481348,-0.219939100113141,0.0358834121509829,-6.12926940135254,8.82835292388365e-10,9.53666606382303e-09
"Pavagv31000219m.g",576.898530378946,0.39120092155269,0.076304082753655,5.12686749430785,2.94602703451479e-07,2.36881941904253e-06
"Pavagv31000222m.g",322.555697014356,-0.974721426801399,0.0954101171851769,-10.2161223102746,1.67924489763754e-24,4.72652395798103e-23
"Pavagv31000224m.g",254.967222197246,-0.40644193619002,0.103518217089077,-3.9262841615624,8.62682327492534e-05,0.000471407965178698
"Pavagv31000245m.g",667.537505636311,-0.297720870938087,0.070301421172954,-4.23491966407964,2.2863342790002e-05,0.000139223448700307
"Pavagv31000246m.g",263.390189876889,0.400389945006037,0.107336815709338,3.73022007742685,0.000191312588556682,0.000979151221924254
"Pavagv31000250m.g",872.157790532487,-0.350675180386696,0.0596433092313941,-5.87953929628896,4.11409925260233e-09,4.14922709484118e-08
"Pavagv31000251m.g",12.1596291192806,-4.46732605825869,0.820450596917422,-5.44496655257883,5.18151210658356e-08,4.56381377306997e-07
"Pavagv31000256m.g",325.515761609127,-0.26453815699204,0.105504324340673,-2.50736790785795,0.0121634034677795,0.0390323800859758
"Pavagv31000268m.g",576.32840558854,-0.448607537475577,0.0739121830921049,-6.06946674699825,1.28335660353757e-09,1.36291765877847e-08
"Pavagv31000283m.g",268.983063201736,0.325991964229136,0.122338944205421,2.66466223283533,0.00770656841889854,0.0265716977900302
"Pavagv31000286m.g",51.4181237821481,0.648445153605348,0.259608022492408,2.49778549745824,0.0124971788148601,0.039919247728289
"Pavagv31000289m.g",1035.09386920918,-0.19841769765081,0.0598175203161724,-3.31704986435496,0.000909733784459033,0.0040038055866958
"Pavagv31000296m.g",308.487770353401,0.473455886854974,0.17149702842217,2.76072356011603,0.00576734704476721,0.0206596437841224
"Pavagv31000300m.g",724.838753994639,0.267493967994029,0.0789507534760621,3.38811165462954,0.000703756093210377,0.00318166447689244
"Pavagv31000305m.g",434.751931715265,-0.462830593594319,0.0855386534526733,-5.41077717397543,6.27518145401729e-08,5.4613057641478e-07
"Pavagv31000306m.g",468.180031843158,0.494965587137099,0.0844545261175066,5.86073488173297,4.60823206289373e-09,4.61830563427983e-08
"Pavagv31000310m.g",459.290507633959,-0.266093574470308,0.0815337470379768,-3.26360046161459,0.0011000617593072,0.00474267939552128
"Pavagv31000311m.g",3.53345794417894,-5.59824666534232,1.44495198686748,-3.87434787883767,0.000106910600469497,0.000575945993248242
"Pavagv31000314m.g",547.709018125786,-0.231782494470118,0.0757780098109831,-3.05870390431557,0.00222296742543109,0.00891146043435372
"Pavagv31000318m.g",19.107500198381,1.19649408385911,0.424267902304361,2.82013811877,0.00480029830058701,0.0175796464571592
"Pavagv31000321m.g",1503.38098372918,-0.181812325104538,0.0531554645966091,-3.42038822319194,0.000625318273267061,0.00285809969138235
"Pavagv31000322m.g",100.759356090081,0.467178481417198,0.189476034055169,2.46563362879536,0.0136771148456531,0.0430878499254682
"Pavagv31000326m.g",773.930307222024,0.73171826131196,0.0660007700410019,11.0865109733931,1.45866632895419e-28,4.90130006607228e-27
"Pavagv31000327m.g",751.418299229557,0.475280709747695,0.0703384773711215,6.75705143914344,1.40828203774625e-11,1.80106954321505e-10
"Pavagv31000331m.g",65.8979037831526,3.50163934277648,0.293766406874763,11.9198085990454,9.33226862978359e-33,3.75079545567632e-31
"Pavagv31000333m.g",145.602901687683,-0.63212902461151,0.142380022662101,-4.43973117009324,9.00713183319549e-06,5.84814951886954e-05
